changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,mse
0.001,0.01,additive,0.01,99767.59176341456
0.001,0.01,additive,0.1,96478.33729461234
0.001,0.01,additive,1.0,96495.10470999104
0.001,0.01,additive,10.0,96434.22167421185
0.001,0.01,multiplicative,0.01,96862.38077134207
0.001,0.01,multiplicative,0.1,96517.9496911314
0.001,0.01,multiplicative,1.0,96623.32324749063
0.001,0.01,multiplicative,10.0,96269.1202301453
0.001,0.1,additive,0.01,100082.61530638307
0.001,0.1,additive,0.1,98115.30231455037
0.001,0.1,additive,1.0,98327.14212109327
0.001,0.1,additive,10.0,98296.48152686228
0.001,0.1,multiplicative,0.01,98921.19812564676
0.001,0.1,multiplicative,0.1,96254.67356479655
0.001,0.1,multiplicative,1.0,95754.47133393197
0.001,0.1,multiplicative,10.0,95576.49392585321
0.001,1.0,additive,0.01,100802.75082069983
0.001,1.0,additive,0.1,98394.41372074744
0.001,1.0,additive,1.0,98194.80005308735
0.001,1.0,additive,10.0,98616.08314247447
0.001,1.0,multiplicative,0.01,98324.81039461093
0.001,1.0,multiplicative,0.1,95884.11092472628
0.001,1.0,multiplicative,1.0,95945.49033543009
0.001,1.0,multiplicative,10.0,95371.70847436103
0.001,10.0,additive,0.01,100538.5669295538
0.001,10.0,additive,0.1,98144.68874317703
0.001,10.0,additive,1.0,98248.52178978483
0.001,10.0,additive,10.0,98342.64185563855
0.001,10.0,multiplicative,0.01,97526.54627870696
0.001,10.0,multiplicative,0.1,95804.92999205615
0.001,10.0,multiplicative,1.0,96454.14157808744
0.001,10.0,multiplicative,10.0,96253.59256212797
0.01,0.01,additive,0.01,86286.1949595433
0.01,0.01,additive,0.1,90928.1506389126
0.01,0.01,additive,1.0,89182.45374168133
0.01,0.01,additive,10.0,98338.86696747984
0.01,0.01,multiplicative,0.01,85969.78887909286
0.01,0.01,multiplicative,0.1,78946.10594181095
0.01,0.01,multiplicative,1.0,80614.25427856775
0.01,0.01,multiplicative,10.0,79099.53204566157
0.01,0.1,additive,0.01,86862.54031280876
0.01,0.1,additive,0.1,91933.55224123041
0.01,0.1,additive,1.0,96113.04852014668
0.01,0.1,additive,10.0,92999.12352090639
0.01,0.1,multiplicative,0.01,88063.41856043038
0.01,0.1,multiplicative,0.1,98212.72751403513
0.01,0.1,multiplicative,1.0,121485.26554585544
0.01,0.1,multiplicative,10.0,109196.22062838534
0.01,1.0,additive,0.01,87183.45431250709
0.01,1.0,additive,0.1,100601.53083678897
0.01,1.0,additive,1.0,90428.66590120639
0.01,1.0,additive,10.0,94406.15931883418
0.01,1.0,multiplicative,0.01,88519.90231207684
0.01,1.0,multiplicative,0.1,124249.56985157558
0.01,1.0,multiplicative,1.0,126565.50818104093
0.01,1.0,multiplicative,10.0,130759.46966667249
0.01,10.0,additive,0.01,86333.37896322257
0.01,10.0,additive,0.1,89021.85527033522
0.01,10.0,additive,1.0,91936.87992259779
0.01,10.0,additive,10.0,91594.83633032386
0.01,10.0,multiplicative,0.01,89958.5255958817
0.01,10.0,multiplicative,0.1,104765.75390835242
0.01,10.0,multiplicative,1.0,118054.1824346775
0.01,10.0,multiplicative,10.0,128746.20431792786
0.1,0.01,additive,0.01,164044.8379430624
0.1,0.01,additive,0.1,248049.19980186172
0.1,0.01,additive,1.0,256656.69740942155
0.1,0.01,additive,10.0,253896.8077116298
0.1,0.01,multiplicative,0.01,155685.70125498832
0.1,0.01,multiplicative,0.1,227227.05483406072
0.1,0.01,multiplicative,1.0,214662.2987794939
0.1,0.01,multiplicative,10.0,216725.88832605063
0.1,0.1,additive,0.01,172138.69395797257
0.1,0.1,additive,0.1,259063.86889315676
0.1,0.1,additive,1.0,265894.8359194134
0.1,0.1,additive,10.0,266292.3268002685
0.1,0.1,multiplicative,0.01,164561.50900107514
0.1,0.1,multiplicative,0.1,256845.75406994254
0.1,0.1,multiplicative,1.0,160156.54248779538
0.1,0.1,multiplicative,10.0,151772.83438634663
0.1,1.0,additive,0.01,174461.4943191996
0.1,1.0,additive,0.1,262514.2493614291
0.1,1.0,additive,1.0,267524.09311046964
0.1,1.0,additive,10.0,266618.3497750635
0.1,1.0,multiplicative,0.01,162174.28184935977
0.1,1.0,multiplicative,0.1,256036.01499955435
0.1,1.0,multiplicative,1.0,106547.55497658621
0.1,1.0,multiplicative,10.0,101492.4871164975
0.1,10.0,additive,0.01,172100.37973010493
0.1,10.0,additive,0.1,257548.41859934642
0.1,10.0,additive,1.0,265108.8562797738
0.1,10.0,additive,10.0,267156.4639424259
0.1,10.0,multiplicative,0.01,159752.9245405859
0.1,10.0,multiplicative,0.1,257803.2278117071
0.1,10.0,multiplicative,1.0,110047.05708771055
0.1,10.0,multiplicative,10.0,102828.89871536796
0.5,0.01,additive,0.01,114935.55486759136
0.5,0.01,additive,0.1,192120.00260545657
0.5,0.01,additive,1.0,194583.6197710159
0.5,0.01,additive,10.0,192668.95326994362
0.5,0.01,multiplicative,0.01,104659.60861482006
0.5,0.01,multiplicative,0.1,256838.58508901883
0.5,0.01,multiplicative,1.0,271531.2164305256
0.5,0.01,multiplicative,10.0,274291.8040122659
0.5,0.1,additive,0.01,92492.44119699352
0.5,0.1,additive,0.1,181115.92124608654
0.5,0.1,additive,1.0,211851.7287412375
0.5,0.1,additive,10.0,214134.69916692367
0.5,0.1,multiplicative,0.01,95263.82777749359
0.5,0.1,multiplicative,0.1,102055.98553791193
0.5,0.1,multiplicative,1.0,96702.80068500941
0.5,0.1,multiplicative,10.0,97497.0912989325
0.5,1.0,additive,0.01,103678.95502066561
0.5,1.0,additive,0.1,189361.2507773309
0.5,1.0,additive,1.0,208852.33695088368
0.5,1.0,additive,10.0,227577.21196483404
0.5,1.0,multiplicative,0.01,94808.08087352675
0.5,1.0,multiplicative,0.1,100839.23745718654
0.5,1.0,multiplicative,1.0,138676.6493608128
0.5,1.0,multiplicative,10.0,151856.30750691448
0.5,10.0,additive,0.01,91409.28983272452
0.5,10.0,additive,0.1,215548.92744687936
0.5,10.0,additive,1.0,191342.26898357688
0.5,10.0,additive,10.0,221187.25778870558
0.5,10.0,multiplicative,0.01,94439.17853184401
0.5,10.0,multiplicative,0.1,102020.6697840695
0.5,10.0,multiplicative,1.0,136113.49640097018
0.5,10.0,multiplicative,10.0,139205.53803265304
